instance_id,tetris_file,sat_file,total_steps,forward_steps,illegal_forward_steps,forward_density,illegal_forward_rate,illegal_forward_burden,total_steps_reverse,forward_steps_reverse,illegal_forward_steps_reverse,forward_density_reverse,illegal_forward_rate_reverse,illegal_forward_burden_reverse
1,tetris_run_5_inst_1_unit.jsonl,trace_run_5_instance_1,1,0,0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0
2,tetris_run_5_inst_2_unit.jsonl,trace_run_5_instance_2,2,1,1,0.5,1.0,0.5,2,1,1,0.5,1.0,0.5
3,tetris_run_5_inst_3_unit.jsonl,trace_run_5_instance_3,109,46,30,0.42201834862385323,0.6521739130434783,0.27522935779816515,109,63,32,0.5779816513761468,0.5079365079365079,0.29357798165137616
4,tetris_run_5_inst_4_unit.jsonl,trace_run_5_instance_4,2,0,0,0.0,0.0,0.0,2,2,2,1.0,1.0,1.0
5,tetris_run_5_inst_5_unit.jsonl,trace_run_5_instance_5,19,8,7,0.42105263157894735,0.875,0.3684210526315789,19,11,6,0.5789473684210527,0.5454545454545454,0.3157894736842105
6,tetris_run_5_inst_6_unit.jsonl,trace_run_5_instance_6,84,41,29,0.4880952380952381,0.7073170731707317,0.34523809523809523,84,43,25,0.5119047619047619,0.5813953488372093,0.2976190476190476
7,tetris_run_5_inst_7_unit.jsonl,trace_run_5_instance_7,2,1,1,0.5,1.0,0.5,2,1,1,0.5,1.0,0.5
8,tetris_run_5_inst_8_unit.jsonl,trace_run_5_instance_8,2,0,0,0.0,0.0,0.0,2,2,2,1.0,1.0,1.0
9,tetris_run_5_inst_9_unit.jsonl,trace_run_5_instance_9,3,2,1,0.6666666666666666,0.5,0.3333333333333333,3,1,1,0.3333333333333333,1.0,0.3333333333333333
10,tetris_run_5_inst_10_unit.jsonl,trace_run_5_instance_10,1,0,0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0
11,tetris_run_5_inst_11_unit.jsonl,trace_run_5_instance_11,19,8,6,0.42105263157894735,0.75,0.3157894736842105,19,11,6,0.5789473684210527,0.5454545454545454,0.3157894736842105
12,tetris_run_5_inst_12_unit.jsonl,trace_run_5_instance_12,3,1,1,0.3333333333333333,1.0,0.3333333333333333,3,2,2,0.6666666666666666,1.0,0.6666666666666666
13,tetris_run_5_inst_13_unit.jsonl,trace_run_5_instance_13,8,3,3,0.375,1.0,0.375,8,5,5,0.625,1.0,0.625
14,tetris_run_5_inst_14_unit.jsonl,trace_run_5_instance_14,57,22,15,0.38596491228070173,0.6818181818181818,0.2631578947368421,57,35,12,0.6140350877192983,0.34285714285714286,0.21052631578947367
15,tetris_run_5_inst_15_unit.jsonl,trace_run_5_instance_15,101,45,23,0.44554455445544555,0.5111111111111111,0.22772277227722773,101,56,24,0.5544554455445545,0.42857142857142855,0.2376237623762376
16,tetris_run_5_inst_16_unit.jsonl,trace_run_5_instance_16,98,52,30,0.5306122448979592,0.5769230769230769,0.30612244897959184,98,46,26,0.46938775510204084,0.5652173913043478,0.2653061224489796
17,tetris_run_5_inst_17_unit.jsonl,trace_run_5_instance_17,2,1,1,0.5,1.0,0.5,2,1,1,0.5,1.0,0.5
18,tetris_run_5_inst_18_unit.jsonl,trace_run_5_instance_18,14,7,6,0.5,0.8571428571428571,0.42857142857142855,14,7,7,0.5,1.0,0.5
19,tetris_run_5_inst_19_unit.jsonl,trace_run_5_instance_19,9,6,3,0.6666666666666666,0.5,0.3333333333333333,9,3,3,0.3333333333333333,1.0,0.3333333333333333
20,tetris_run_5_inst_20_unit.jsonl,trace_run_5_instance_20,6,3,2,0.5,0.6666666666666666,0.3333333333333333,6,3,3,0.5,1.0,0.5
21,tetris_run_5_inst_21_unit.jsonl,trace_run_5_instance_21,120,68,33,0.5666666666666667,0.4852941176470588,0.275,120,52,30,0.43333333333333335,0.5769230769230769,0.25
22,tetris_run_5_inst_22_unit.jsonl,trace_run_5_instance_22,53,23,17,0.4339622641509434,0.7391304347826086,0.32075471698113206,53,30,17,0.5660377358490566,0.5666666666666667,0.32075471698113206
23,tetris_run_5_inst_23_unit.jsonl,trace_run_5_instance_23,1,0,0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0
24,tetris_run_5_inst_24_unit.jsonl,trace_run_5_instance_24,16,10,6,0.625,0.6,0.375,16,6,6,0.375,1.0,0.375
25,tetris_run_5_inst_25_unit.jsonl,trace_run_5_instance_25,13,5,4,0.38461538461538464,0.8,0.3076923076923077,13,8,2,0.6153846153846154,0.25,0.15384615384615385
26,tetris_run_5_inst_26_unit.jsonl,trace_run_5_instance_26,3,1,0,0.3333333333333333,0.0,0.0,3,2,2,0.6666666666666666,1.0,0.6666666666666666
27,tetris_run_5_inst_27_unit.jsonl,trace_run_5_instance_27,25,11,5,0.44,0.45454545454545453,0.2,25,14,3,0.56,0.21428571428571427,0.12
28,tetris_run_5_inst_28_unit.jsonl,trace_run_5_instance_28,48,23,12,0.4791666666666667,0.5217391304347826,0.25,48,25,15,0.5208333333333334,0.6,0.3125
29,tetris_run_5_inst_29_unit.jsonl,trace_run_5_instance_29,126,55,41,0.4365079365079365,0.7454545454545455,0.3253968253968254,126,71,41,0.5634920634920635,0.5774647887323944,0.3253968253968254
30,tetris_run_5_inst_30_unit.jsonl,trace_run_5_instance_30,8,4,4,0.5,1.0,0.5,8,4,4,0.5,1.0,0.5
31,tetris_run_5_inst_31_unit.jsonl,trace_run_5_instance_31,39,16,16,0.41025641025641024,1.0,0.41025641025641024,39,23,15,0.5897435897435898,0.6521739130434783,0.38461538461538464
32,tetris_run_5_inst_32_unit.jsonl,trace_run_5_instance_32,1,1,1,1.0,1.0,1.0,1,0,0,0.0,0.0,0.0
33,tetris_run_5_inst_33_unit.jsonl,trace_run_5_instance_33,3,1,1,0.3333333333333333,1.0,0.3333333333333333,3,2,2,0.6666666666666666,1.0,0.6666666666666666
34,tetris_run_5_inst_34_unit.jsonl,trace_run_5_instance_34,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
35,tetris_run_5_inst_35_unit.jsonl,trace_run_5_instance_35,4,2,2,0.5,1.0,0.5,4,2,2,0.5,1.0,0.5
36,tetris_run_5_inst_36_unit.jsonl,trace_run_5_instance_36,1,0,0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0
37,tetris_run_5_inst_37_unit.jsonl,trace_run_5_instance_37,222,124,60,0.5585585585585585,0.4838709677419355,0.2702702702702703,222,98,56,0.44144144144144143,0.5714285714285714,0.25225225225225223
38,tetris_run_5_inst_38_unit.jsonl,trace_run_5_instance_38,7,5,2,0.7142857142857143,0.4,0.2857142857142857,7,2,2,0.2857142857142857,1.0,0.2857142857142857
39,tetris_run_5_inst_39_unit.jsonl,trace_run_5_instance_39,102,48,32,0.47058823529411764,0.6666666666666666,0.3137254901960784,102,54,33,0.5294117647058824,0.6111111111111112,0.3235294117647059
40,tetris_run_5_inst_40_unit.jsonl,trace_run_5_instance_40,8,5,2,0.625,0.4,0.25,8,3,3,0.375,1.0,0.375
41,tetris_run_5_inst_41_unit.jsonl,trace_run_5_instance_41,4,2,2,0.5,1.0,0.5,4,2,2,0.5,1.0,0.5
42,tetris_run_5_inst_42_unit.jsonl,trace_run_5_instance_42,92,32,24,0.34782608695652173,0.75,0.2608695652173913,92,60,25,0.6521739130434783,0.4166666666666667,0.2717391304347826
43,tetris_run_5_inst_43_unit.jsonl,trace_run_5_instance_43,125,69,39,0.552,0.5652173913043478,0.312,125,56,36,0.448,0.6428571428571429,0.288
44,tetris_run_5_inst_44_unit.jsonl,trace_run_5_instance_44,2,0,0,0.0,0.0,0.0,2,2,2,1.0,1.0,1.0
45,tetris_run_5_inst_45_unit.jsonl,trace_run_5_instance_45,2,1,1,0.5,1.0,0.5,2,1,1,0.5,1.0,0.5
46,tetris_run_5_inst_46_unit.jsonl,trace_run_5_instance_46,51,25,13,0.49019607843137253,0.52,0.2549019607843137,51,26,17,0.5098039215686274,0.6538461538461539,0.3333333333333333
47,tetris_run_5_inst_47_unit.jsonl,trace_run_5_instance_47,10,6,5,0.6,0.8333333333333334,0.5,10,4,4,0.4,1.0,0.4
48,tetris_run_5_inst_48_unit.jsonl,trace_run_5_instance_48,5,3,3,0.6,1.0,0.6,5,2,2,0.4,1.0,0.4
49,tetris_run_5_inst_49_unit.jsonl,trace_run_5_instance_49,82,39,30,0.47560975609756095,0.7692307692307693,0.36585365853658536,82,43,29,0.524390243902439,0.6744186046511628,0.35365853658536583
50,tetris_run_5_inst_50_unit.jsonl,trace_run_5_instance_50,1,0,0,0.0,0.0,0.0,1,1,1,1.0,1.0,1.0
